barcode,age_category,round,treatment,hours,R_mean,R_sd,R_median,G_mean,G_sd,G_median,B_mean,B_sd,B_median
UCSB-IZC00030039,collections,1,dry,0,18.519,25.907,5,88.659,45.604,90,73.277,41.261,71
UCSB-IZC00030369,collections,1,dry,0,45.956,33.851,45,74.211,44.386,73,44.772,33.057,44
UCSB-IZC00036314,collections,1,humid,0,14.022,17.573,6,45.402,31.165,38,45.513,32.544,39
UCSB-IZC00036602,collections,1,dry,0,43.331,32.874,40,67.668,40.199,67,32.185,23.964,31
UCSB-IZC00037139,collections,1,humid,0,54.094,31.175,55,75.302,32.231,77,38.777,20.075,40
UCSB-IZC00038809,collections,1,humid,0,58.502,36.289,66,88.965,38.602,99,43.248,21.333,46
UCSB-IZC00041536,collections,1,humid,0,44.12,39.313,40,101.817,47.443,104,62.048,34.664,61
UCSB-IZC00041550,collections,1,humid,0,25.609,27.384,16,108.272,36.97,112,67.674,28.325,68
UCSB-IZC00042037,collections,1,dry,0,38.57,33.225,33,69.965,40.613,70,41.054,29.472,41
UCSB-IZC00042297,collections,1,dry,0,36.935,28.645,35,86.448,43.97,85,44.884,24.902,48
UCSB-IZC00043430,collections,1,dry,0,15.364,23.077,4,65.841,41.28,63,47.575,31.537,45
UCSB-IZC00047045,collections,1,humid,0,37.926,32.321,35,88.513,41.486,92,47.37,25.662,49
UCSB-IZC00030039,collections,1,dry,7,42.744,29.183,37,98.279,41.402,92,92.254,34.181,89
UCSB-IZC00030369,collections,1,dry,7,54.481,30.055,57,90.289,38.952,90,57.595,30.401,56
UCSB-IZC00036314,collections,1,humid,7,35.507,29.164,31,68.379,35.765,69,60.738,38.56,57
UCSB-IZC00036602,collections,1,dry,7,64.235,29.971,68,99.582,39.662,102,52.779,22.755,54
UCSB-IZC00037139,collections,1,humid,7,75.081,33.96,76,97.012,32.598,101,51.618,21.065,54
UCSB-IZC00038809,collections,1,humid,7,72.243,39.174,79,94.265,42.04,103,45.366,22.3,48
UCSB-IZC00041536,collections,1,humid,7,53.545,40.62,55,118.41,42.84,114,69.257,31.684,64
UCSB-IZC00041550,collections,1,humid,7,52.211,35.09,53,112.073,43.707,113,57.523,31.281,57
UCSB-IZC00042037,collections,1,dry,7,50.475,31.423,51,79.283,31.58,84,46.965,22.985,51
UCSB-IZC00042297,collections,1,dry,7,45.803,37.215,43,91.287,47.845,92,57.052,34.423,60
UCSB-IZC00043430,collections,1,dry,7,17.178,24.238,5,64.053,39.648,62,53.164,36.317,50
UCSB-IZC00047045,collections,1,humid,7,67.954,35.206,69,88.353,38.088,92,34.575,16.972,38
UCSB-IZC00030039,collections,1,dry,24,12.164,21.31,2,73.217,43.433,76,66.394,38.811,69
UCSB-IZC00030369,collections,1,dry,24,32.071,29.331,27,65.542,35.577,68,39.115,26.554,40
UCSB-IZC00036314,collections,1,humid,24,43.028,34.298,39,69.576,44.489,64,47.776,35.833,44
UCSB-IZC00036602,collections,1,dry,24,38.739,33.654,34,70.757,42.006,71,38.757,28.871,39
UCSB-IZC00037139,collections,1,humid,24,66.571,32.505,68,71.925,30.513,74,27.228,17.274,28
UCSB-IZC00038809,collections,1,humid,24,67.971,44.371,74,73.873,40.717,78,27.111,19.776,28
UCSB-IZC00041536,collections,1,humid,24,64.568,40.153,68,89.665,45.381,89,38.542,29.118,36
UCSB-IZC00041550,collections,1,humid,24,61.424,37.442,63,97.16,38.087,102,32.739,19.728,34
UCSB-IZC00042037,collections,1,dry,24,26.03,28.734,13,72.74,38.4,69,44.437,28.399,42
UCSB-IZC00042297,collections,1,dry,24,27.886,31.421,15,76.189,45.933,74,49.602,34.452,48
UCSB-IZC00043430,collections,1,dry,24,13.667,23.28,1,78.343,42.502,81,78.217,44.032,78
UCSB-IZC00047045,collections,1,humid,24,78.84,48.679,80,79.194,43.207,82,26.783,22.317,25
UCSB-IZC00030039,collections,1,dry,31,15.132,22.691,2,91.374,44.493,98,83.379,42.014,87
UCSB-IZC00030369,collections,1,dry,31,44.04,31.151,42,76.863,38.584,83,52.969,28.469,57
UCSB-IZC00036314,collections,1,humid,31,45.714,30.781,41,64.662,39.291,61,44.619,27.713,43
UCSB-IZC00036602,collections,1,dry,31,53.203,32.789,54,93.506,42.624,98,57.694,27.825,60
UCSB-IZC00037139,collections,1,humid,31,98.968,25.752,98,109.273,23.731,113,51.602,11.637,52
UCSB-IZC00038809,collections,1,humid,31,93.678,37.566,103,107.307,35.048,114,47.962,14.953,49
UCSB-IZC00041536,collections,1,humid,31,81.577,34.69,87,107.623,39.666,108,50.974,20.606,50
UCSB-IZC00041550,collections,1,humid,31,89.883,36.682,93,135.97,34.822,139,56.046,20.991,54
UCSB-IZC00042037,collections,1,dry,31,43.731,34.853,44,100.77,39.832,105,69.496,30.273,69
UCSB-IZC00042297,collections,1,dry,31,38.122,30.507,37,94.675,42.454,94,64.355,28.934,66
UCSB-IZC00043430,collections,1,dry,31,14.164,21.205,2,80.217,43.983,83,76.121,43.525,75
UCSB-IZC00047045,collections,1,humid,31,84.999,38.931,90,87.065,36.519,94,40.46,17.617,
UCSB-IZC00030039,collections,1,dry,48,9.296,18.443,1,51.496,42.562,44,44.952,37.116,38
UCSB-IZC00030369,collections,1,dry,48,34.634,34.15,27,80.153,42.828,81,55.093,36.981,55
UCSB-IZC00036314,collections,1,humid,48,39.034,36.629,31,55.362,43.773,49,30.982,28.559,27
UCSB-IZC00036602,collections,1,dry,48,45.702,31.722,48,84.187,42.405,89,49.131,28.664,52
